,Genre,Responsable_secondaire,Orphelin,Confession,Ecole_secondaire,Option_secondaire,Grade_examen_Etat,Province_secondaire,Age_fin_secondaire,Etude_cours_secondaire,Vouloir_devenir_avant_universite,Respo_oriention_departement,Aimer_departement,Annee_reposAvantUniversite,Age_adm_Universite,Nature_universite,Type_institution,Province_universite,Respo_universitaire,Niveau,Refaitre_sixieme_secondaire,Competence_math,Competence_physique,Competence_biologie,Competence_chimie,Competence_informatique,Competence_Dessin,Domaine_Universite
84,0,4.0,0,4.0,6,0,0.0,7.5,4.0,1,7,2,1,2.5,2.5,2.5,1,2.5,2,2,0,1,1.0,1.0,1.0,1,0,0
85,1,1.0,0,8.125,6,14,0.0,3.0,3.0,3,10,3,0,2.5,2.5,2.5,1,1.0,6,2,0,2,1.0,1.0,1.0,1,2,2
86,1,6.0,0,0.0,0,5,0.0,0.0,2.0,0,2,1,1,0.0,2.0,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,1,1,0
87,0,1.0,0,1.0,1,8,0.0,0.0,7.0,1,1,0,0,2.5,2.5,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,2,1,0
88,0,2.0,1,8.125,0,2,0.0,0.0,7.0,1,1,0,0,0.0,2.5,0.0,0,0.0,3,2,0,1,1.0,1.0,1.0,2,1,0
89,1,1.0,0,0.0,0,0,0.0,0.0,2.0,0,11,0,0,0.0,2.0,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,2,0,0
90,1,1.0,1,0.0,4,9,0.0,0.0,4.0,2,7,5,0,0.0,2.5,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,2,2,0
91,1,1.0,1,0.0,0,0,0.0,0.0,7.0,2,1,1,0,2.0,2.5,0.0,0,0.0,6,2,1,1,1.0,1.0,1.0,1,1,0
92,1,6.0,0,5.0,6,5,0.0,7.5,3.0,0,2,0,0,2.5,2.5,2.5,0,2.5,5,1,0,2,1.0,1.0,1.0,1,2,1
93,0,5.0,0,8.0,4,4,0.0,4.0,4.0,3,7,1,1,2.0,2.5,2.5,1,2.5,2,1,0,1,1.0,1.0,1.0,2,2,1
94,1,0.0,0,6.0,2,9,0.0,1.0,7.0,0,9,3,1,2.5,2.5,2.5,1,1.0,6,1,0,2,1.0,1.0,1.0,2,2,1
95,1,1.0,1,8.125,7,4,0.0,7.5,7.0,0,1,3,0,2.5,2.5,1.0,1,2.5,2,2,0,2,1.0,1.0,1.0,1,2,1
96,1,0.0,1,6.0,6,6,0.0,3.0,5.0,0,8,6,0,2.0,2.5,2.5,1,1.0,6,1,0,2,1.0,1.0,1.0,2,2,1
97,0,0.0,1,5.0,5,1,0.0,7.5,5.0,1,9,3,1,2.0,2.5,2.5,1,2.5,0,1,0,1,1.0,1.0,1.0,2,2,1
